id,name,description,density_score,primary_muscles,secondary_muscles,implicit_hits,is_unilateral,setup_buffer_sec,avg_time_per_set_sec,is_timed,equipment_needed,movement_pattern,tempo_category,created_at,updated_at,is_stretch
,Bicep Curl (Barbell/Dumbbell),"Stand holding weights at sides. Curl weights to shoulders, squeeze biceps at top. Lower with control, avoid swinging.",5,"[""biceps""]","[""forearms""]","{""forearms"":0.3}",false,15,35,false,"[""barbell"",""dumbbells""]",pull,controlled,,,false
,Bicycle Crunch,Lie on back and alternate bringing elbow toward opposite knee while extending other leg.,5,"[""obliques""]","[""abs"",""hip_flexors""]","{""abs"":0.7,""hip_flexors"":0.4}",false,5,40,false,[],rotation,controlled,,,false
,Bird Dog,"Start on all fours. Extend opposite arm and leg, pause, then return and alternate.",4,"[""lower_back""]","[""glutes"",""abs"",""posterior_deltoids""]","{""glutes"":0.4,""abs"":0.4,""posterior_deltoids"":0.2}",false,5,40,false,[],anti-rotation,controlled,,,false
,Box Jump,"Stand facing a box. Jump onto it with soft landing, step down, and repeat.",8,"[""quads""]","[""glutes"",""calves"",""hamstrings""]","{""glutes"":0.7,""calves"":0.6,""hamstrings"":0.4}",false,10,30,false,"[""box""]",squat,explosive,,,false
,Box Squat,"Squat back to a box or bench, lightly pause, then drive up to standing.",8,"[""glutes""]","[""quads"",""hamstrings"",""lower_back"",""abs""]","{""quads"":0.6,""hamstrings"":0.5,""lower_back"":0.4,""abs"":0.4}",false,45,75,false,"[""barbell"",""squat_rack"",""box""]",squat,controlled,,,false
,Bulgarian Split Squat,"Rear foot elevated on bench. Lower front leg until thigh parallel, drive through front heel to stand. Unilateral movement.",8,"[""quads""]","[""glutes"",""calves""]","{""calves"":0.3,""glutes"":0.9}",true,20,60,false,"[""bench"",""dumbbells""]",lunge,controlled,,,false
,Burpee,"Drop to floor, kick feet back, perform push-up if desired, jump feet in, and stand or jump.",9,"[""quads""]","[""chest"",""triceps"",""abs"",""glutes"",""calves""]","{""chest"":0.5,""triceps"":0.4,""abs"":0.5,""glutes"":0.5,""calves"":0.4}",false,5,35,false,[],squat,explosive,,,false
,Butterfly Stretch,Sit with soles of feet together. Let knees fall outward and gently hinge forward.,2,"[""adductors""]","[""glutes"",""lower_back""]","{""glutes"":0.2,""lower_back"":0.2}",false,5,45,true,[],stretch,isometric,,,true
,Cable Crunch,"Kneel facing high cable with rope. Crunch ribs toward pelvis, then return with control.",5,"[""abs""]","[""obliques""]","{""obliques"":0.3}",false,15,40,false,"[""cable_machine"",""rope_attachment""]",anti-rotation,controlled,,,false
,Cable Curl,Stand facing low cable. Curl handle or bar toward shoulders while keeping elbows near sides.,5,"[""biceps""]","[""forearms""]","{""forearms"":0.4}",false,15,40,false,"[""cable_machine""]",pull,controlled,,,false
,Cable External Rotation,Stand beside a cable with elbow bent at 90 degrees. Rotate forearm outward while keeping elbow tucked.,3,"[""rotator_cuff""]","[""posterior_deltoids""]","{""posterior_deltoids"":0.3}",true,15,35,false,"[""cable_machine""]",pull,controlled,,,false
,Cable Fly,Stand between cable handles. Sweep arms together in a wide arc while keeping a soft elbow bend.,6,"[""chest""]","[""anterior_deltoids""]","{""anterior_deltoids"":0.4}",false,20,45,false,"[""cable_machine""]",push,controlled,,,false
,Cable Glute Kickback,"Attach ankle strap to low cable. Kick leg backward while keeping torso stable, then return.",4,"[""glutes""]","[""hamstrings"",""glute_medius""]","{""hamstrings"":0.3,""glute_medius"":0.3}",true,20,35,false,"[""cable_machine"",""ankle_strap""]",hinge,controlled,,,false
,Cable Hip Abduction,"Attach ankle strap to low cable. Move leg out to side, pause, then return with control.",4,"[""glute_medius""]","[""glutes"",""tensor_fasciae_latae""]","{""glutes"":0.4,""tensor_fasciae_latae"":0.3}",true,20,35,false,"[""cable_machine"",""ankle_strap""]",squat,controlled,,,false
,Cable Hip Adduction,"Attach ankle strap to low cable. Sweep leg inward across body, then return slowly.",4,"[""adductors""]","[""hip_flexors""]","{""hip_flexors"":0.2}",true,20,35,false,"[""cable_machine"",""ankle_strap""]",squat,controlled,,,false
,Cable Lateral Raise,"Stand beside a low cable. Raise handle out to side to shoulder height, then lower slowly.",5,"[""lateral_deltoids""]","[""traps"",""rotator_cuff""]","{""traps"":0.3,""rotator_cuff"":0.3}",true,20,40,false,"[""cable_machine""]",push,controlled,,,false
,Cable Overhead Tricep Extension,"Face away from high cable with rope overhead. Extend elbows forward/up, then bend with control.",5,"[""triceps""]","[""abs""]","{""abs"":0.3}",false,20,40,false,"[""cable_machine"",""rope_attachment""]",push,controlled,,,false
,Cable Pull Through,"Face away from low cable holding rope between legs. Hinge back, then drive hips forward.",6,"[""glutes""]","[""hamstrings"",""lower_back""]","{""hamstrings"":0.7,""lower_back"":0.3}",false,20,45,false,"[""cable_machine"",""rope_attachment""]",hinge,controlled,,,false
,Cable Pullover,Use a high cable or rope. Sweep arms down and back without bending elbows much.,5,"[""lats""]","[""chest"",""serratus_anterior"",""abs""]","{""chest"":0.3,""serratus_anterior"":0.4,""abs"":0.3}",false,15,40,false,"[""cable_machine"",""rope_attachment""]",pull,controlled,,,false
,Cable Rear Delt Fly,Set cables at shoulder height. Pull handles outward and back with soft elbows.,5,"[""posterior_deltoids""]","[""upper_back"",""traps"",""rotator_cuff""]","{""upper_back"":0.6,""traps"":0.4,""rotator_cuff"":0.3}",false,20,40,false,"[""cable_machine""]",pull,controlled,,,false
,Cable Tricep Kickback,Set cable low. Hinge forward and extend elbow backward against cable resistance.,4,"[""triceps""]","[""posterior_deltoids""]","{""posterior_deltoids"":0.2}",true,15,35,false,"[""cable_machine""]",push,controlled,,,false
,Cable Woodchop,"Set cable high or low. Rotate torso and pull handle diagonally across body, then return slowly.",6,"[""obliques""]","[""abs"",""lats"",""glutes""]","{""abs"":0.5,""lats"":0.3,""glutes"":0.3}",true,20,40,false,"[""cable_machine""]",rotation,controlled,,,false
,Calf Raise,"Stand on balls of feet, raise heels as high as possible. Lower slowly to full stretch. Can use bodyweight or added weight.",5,"[""calves""]","[""soleus""]","{""soleus"":0.8}",false,15,40,false,"[""dumbbells""]",squat,controlled,,,false
,Calf Wall Stretch,"Place hands on wall, step one foot back, keep heel down, and lean forward.",2,"[""calves""]","[""soleus""]","{""soleus"":0.3}",true,5,45,true,"[""wall""]",stretch,isometric,,,true
,Captain Chair Knee Raise,"Support body on captain chair pads. Raise knees toward chest, then lower with control.",5,"[""abs""]","[""hip_flexors"",""forearms""]","{""hip_flexors"":0.5,""forearms"":0.2}",false,10,35,false,"[""captain_chair""]",anti-rotation,controlled,,,false
,Cat-Cow Stretch,"On hands and knees, alternate arching and rounding the spine slowly.",3,"[""lower_back""]","[""abs"",""upper_back""]","{""abs"":0.3,""upper_back"":0.4}",false,5,45,true,[],stretch,controlled,,,true
,Chest-Supported Row (Dumbbell),"Lie chest-down on an incline bench. Row dumbbells toward ribs, squeeze shoulder blades, and lower.",7,"[""upper_back""]","[""lats"",""biceps"",""posterior_deltoids""]","{""lats"":0.6,""biceps"":0.5,""posterior_deltoids"":0.5}",false,20,50,false,"[""dumbbells"",""incline_bench""]",pull,controlled,,,false
,Child's Pose,Kneel and sit hips back toward heels while reaching arms forward and relaxing torso.,2,"[""lats""]","[""lower_back"",""glutes"",""shoulders""]","{""lower_back"":0.5,""glutes"":0.3,""shoulders"":0.2}",false,5,60,true,[],stretch,isometric,,,true
,Chin Up (Supinated),"Underhand grip, hands shoulder-width. Pull up emphasizing biceps and lats. Lower with control to full arm extension.",8,"[""lats""]","[""biceps"",""traps"",""forearms""]","{""traps"":0.5,""biceps"":0.8,""forearms"":0.5}",false,10,45,false,"[""pull_up_bar""]",pull,controlled,,,false
,Clean and Press,"Clean weight to shoulders, then press overhead and return with control.",9,"[""glutes""]","[""anterior_deltoids"",""triceps"",""quads"",""traps"",""abs""]","{""anterior_deltoids"":0.7,""triceps"":0.6,""quads"":0.5,""traps"":0.5,""abs"":0.4}",false,35,60,false,"[""barbell"",""dumbbells""]",hinge,explosive,,,false
,Close-Grip Bench Press,"Grip bar slightly narrower than shoulder width. Lower to lower chest and press up, emphasizing triceps.",8,"[""triceps""]","[""chest"",""anterior_deltoids""]","{""chest"":0.7,""anterior_deltoids"":0.5}",false,30,60,false,"[""barbell"",""bench""]",push,controlled,,,false
,Close-Grip Lat Pulldown,"Use close or neutral grip handle. Pull toward upper chest, squeeze lats, then return with control.",7,"[""lats""]","[""biceps"",""upper_back"",""forearms""]","{""biceps"":0.6,""upper_back"":0.4,""forearms"":0.3}",false,15,45,false,"[""lat_pulldown_machine""]",pull,controlled,,,false
,Cobra Stretch,"Lie face-down, place hands under shoulders, and gently lift chest to extend spine.",2,"[""abs""]","[""hip_flexors"",""chest""]","{""hip_flexors"":0.3,""chest"":0.2}",false,5,45,true,[],stretch,isometric,,,true
,Commando Pull Up,"Grip bar with hands facing each other on opposite sides. Pull head to one side of bar, alternating sides.",8,"[""lats""]","[""biceps"",""forearms"",""obliques""]","{""biceps"":0.7,""forearms"":0.6,""obliques"":0.4}",false,10,45,false,"[""pull_up_bar""]",pull,controlled,,,false
,Concentration Curl,"Sit with elbow braced against inner thigh. Curl dumbbell up, then lower slowly.",4,"[""biceps""]","[""forearms""]","{""forearms"":0.3}",true,10,35,false,"[""dumbbell"",""bench""]",pull,controlled,,,false
,Cossack Squat,"Wide stance, shift weight to one side while keeping other leg straight. Lower into deep squat, return to center, alternate sides.",7,"[""quads""]","[""quads"",""glutes"",""hamstrings""]","{""quads"":0.8,""glutes"":0.6,""hamstrings"":0.4}",false,10,50,false,[],squat,controlled,,,false
,Couch Stretch,Place back foot on wall or bench in kneeling lunge. Tuck pelvis and hold quad/hip flexor stretch.,2,"[""hip_flexors""]","[""quads"",""glutes""]","{""quads"":0.7,""glutes"":0.2}",true,5,60,true,"[""bench"",""wall""]",stretch,isometric,,,true
,Cross-Body Shoulder Stretch,Pull one arm across chest with opposite arm until rear shoulder stretches.,2,"[""posterior_deltoids""]","[""upper_back"",""traps""]","{""upper_back"":0.3,""traps"":0.2}",true,5,40,true,[],stretch,isometric,,,true
,Crunch,"Lie on back with knees bent. Curl shoulders off floor using abs, then lower slowly.",4,"[""abs""]","[""hip_flexors""]","{""hip_flexors"":0.2}",false,5,35,false,[],anti-rotation,controlled,,,false
,Cuban Press,"Raise elbows high, externally rotate shoulders, then press lightly overhead and reverse.",4,"[""rotator_cuff""]","[""posterior_deltoids"",""lateral_deltoids"",""traps""]","{""posterior_deltoids"":0.5,""lateral_deltoids"":0.4,""traps"":0.3}",false,10,45,false,"[""dumbbells""]",pull,controlled,,,false
,Curtsy Lunge,"Step one leg diagonally behind the other. Lower into a lunge, then return to standing.",6,"[""glutes""]","[""quads"",""glute_medius"",""adductors""]","{""quads"":0.5,""glute_medius"":0.6,""adductors"":0.3}",true,10,50,false,"[""dumbbells""]",lunge,controlled,,,false
,Dead Bug,Lie on back with arms and knees up. Extend opposite arm and leg while keeping lower back down.,4,"[""abs""]","[""hip_flexors"",""obliques""]","{""hip_flexors"":0.3,""obliques"":0.3}",false,5,40,false,[],anti-rotation,controlled,,,false
,Dead Hang,Hang from pull-up bar with arms straight. Keep shoulders active and hold for time.,5,"[""forearms""]","[""lats"",""traps""]","{""lats"":0.4,""traps"":0.3}",false,10,30,true,"[""pull_up_bar""]",pull,isometric,,,false
,Deadlift (Conventional),"Stand with feet hip-width, bar over mid-foot. Hinge at hips, grip bar, drive through heels to stand. Keep bar close to body.",10,"[""lower_back""]","[""hamstrings"",""glutes"",""traps"",""forearms""]","{""traps"":0.5,""glutes"":0.8,""forearms"":0.5,""hamstrings"":0.9}",false,60,120,false,"[""barbell""]",hinge,explosive,,,false
,Decline Bench Press (Barbell),"Lie on a decline bench. Lower bar to lower chest and press up, keeping shoulders retracted.",8,"[""lower_chest""]","[""chest"",""triceps"",""anterior_deltoids""]","{""chest"":0.7,""triceps"":0.6,""anterior_deltoids"":0.4}",false,40,60,false,"[""barbell"",""decline_bench""]",push,controlled,,,false
,Decline Dumbbell Press,"Lie on a decline bench with dumbbells. Press from lower chest line to above chest, then lower under control.",8,"[""lower_chest""]","[""chest"",""triceps"",""anterior_deltoids""]","{""chest"":0.7,""triceps"":0.5,""anterior_deltoids"":0.4}",false,30,60,false,"[""dumbbells"",""decline_bench""]",push,controlled,,,false
,Decline Push Up,"Place feet on a bench and hands on floor. Lower chest, then press up while keeping body straight.",8,"[""upper_chest""]","[""chest"",""triceps"",""anterior_deltoids"",""abs""]","{""chest"":0.6,""triceps"":0.6,""anterior_deltoids"":0.7,""abs"":0.4}",false,5,40,false,"[""bench""]",push,controlled,,,false
,Deep Squat Hold,"Sit into a deep squat, keep heels down if possible, and gently open hips with elbows.",2,"[""adductors""]","[""glutes"",""calves"",""lower_back""]","{""glutes"":0.4,""calves"":0.3,""lower_back"":0.2}",false,5,60,true,[],stretch,isometric,,,true
,Deficit Reverse Lunge,"Stand on a small platform. Step backward into a deeper lunge, then drive up through front leg.",8,"[""quads""]","[""glutes"",""hamstrings"",""calves""]","{""glutes"":0.8,""hamstrings"":0.4,""calves"":0.3}",true,15,55,false,"[""dumbbells"",""platform""]",lunge,controlled,,,false
,Diamond Push Up,"Form diamond shape with hands under chest. Lower until chest touches hands, focus on tricep engagement. Push up explosively.",7,"[""triceps""]","[""chest"",""anterior_deltoids"",""abs""]","{""abs"":0.4,""chest"":0.6,""anterior_deltoids"":0.6}",false,5,30,false,[],push,controlled,,,false
,Dip,"Support body on parallel bars. Lower by bending elbows until shoulders below elbows, then press up. Lean forward to target chest more.",8,"[""triceps""]","[""lower_chest"",""anterior_deltoids""]","{""lower_chest"":0.8,""anterior_deltoids"":0.4}",false,10,45,false,"[""parallel_bars""]",push,controlled,,,false
,Donkey Calf Raise,"Hinge forward with load across hips. Raise heels high, pause, then lower into stretch.",5,"[""calves""]","[""soleus""]","{""soleus"":0.4}",false,20,40,false,"[""donkey_calf_raise_machine""]",squat,controlled,,,false
,Donkey Kick,"Start on all fours. Drive one heel upward by extending hip, squeeze glute, then lower.",3,"[""glutes""]","[""hamstrings"",""abs""]","{""hamstrings"":0.3,""abs"":0.2}",true,5,35,false,[],hinge,controlled,,,false
,Doorway Pec Stretch,Place forearm on doorway and step through gently until chest stretches.,2,"[""chest""]","[""anterior_deltoids"",""biceps""]","{""anterior_deltoids"":0.5,""biceps"":0.2}",true,5,45,true,"[""doorway""]",stretch,isometric,,,true
,Downward Dog,"Press hips upward from plank-like position, pushing chest toward thighs and heels toward floor.",2,"[""calves""]","[""hamstrings"",""lats"",""shoulders""]","{""hamstrings"":0.5,""lats"":0.4,""shoulders"":0.3}",false,5,60,true,[],stretch,isometric,,,true
,Dragon Flag,Lie on bench holding behind head. Raise body into a straight line and lower slowly.,9,"[""abs""]","[""lats"",""hip_flexors"",""lower_back""]","{""lats"":0.5,""hip_flexors"":0.5,""lower_back"":0.3}",false,10,35,false,"[""bench""]",anti-rotation,controlled,,,false
,Dumbbell Fly,"Lie on bench with dumbbells extended above chest. Lower weights in wide arc until chest stretch, then squeeze chest to bring weights together.",6,"[""chest""]","[""anterior_deltoids""]","{""biceps"":0.1,""anterior_deltoids"":0.3}",false,20,45,false,"[""dumbbells"",""bench""]",push,controlled,,,false
,Dumbbell Pullover,"Lie on a bench holding one dumbbell over chest. Lower weight behind head, then pull back over chest.",6,"[""lats""]","[""chest"",""serratus_anterior"",""triceps""]","{""chest"":0.5,""serratus_anterior"":0.5,""triceps"":0.3}",false,15,45,false,"[""dumbbell"",""bench""]",pull,controlled,,,false
,Dumbbell Romanian Deadlift,"Hold dumbbells in front of thighs. Hinge back until hamstrings stretch, then drive hips forward.",8,"[""hamstrings""]","[""glutes"",""lower_back"",""forearms""]","{""glutes"":0.8,""lower_back"":0.5,""forearms"":0.4}",false,15,60,false,"[""dumbbells""]",hinge,controlled,,,false
,Dumbbell Shrug,"Hold dumbbells at sides. Shrug shoulders upward, pause briefly, then lower fully.",5,"[""traps""]","[""forearms"",""upper_back""]","{""forearms"":0.4,""upper_back"":0.3}",false,10,40,false,"[""dumbbells""]",pull,controlled,,,false
,Dumbbell Side Bend,"Hold dumbbell at one side. Bend sideways slightly, then pull torso back upright.",4,"[""obliques""]","[""forearms""]","{""forearms"":0.3}",true,5,35,false,"[""dumbbell""]",rotation,controlled,,,false
,Dumbbell Snatch,"Lift dumbbell from floor to overhead in one explosive motion, then lower and switch sides.",9,"[""glutes""]","[""hamstrings"",""quads"",""anterior_deltoids"",""traps"",""abs""]","{""hamstrings"":0.5,""quads"":0.5,""anterior_deltoids"":0.5,""traps"":0.4,""abs"":0.4}",true,10,45,false,"[""dumbbell""]",hinge,explosive,,,false
,Dumbbell Squat,Hold dumbbells at sides or shoulders. Squat down with control and stand back up.,7,"[""quads""]","[""glutes"",""hamstrings"",""abs""]","{""glutes"":0.7,""hamstrings"":0.4,""abs"":0.3}",false,10,50,false,"[""dumbbells""]",squat,controlled,,,false
,Dumbbell Thruster,"Hold dumbbells at shoulders. Squat down, then stand and press overhead in one motion.",9,"[""quads""]","[""glutes"",""anterior_deltoids"",""triceps"",""abs""]","{""glutes"":0.6,""anterior_deltoids"":0.7,""triceps"":0.6,""abs"":0.4}",false,15,45,false,"[""dumbbells""]",squat,explosive,,,false
,Dumbbell Tricep Kickback,"Hinge forward with upper arm beside torso. Extend elbow backward, then lower slowly.",4,"[""triceps""]","[""posterior_deltoids""]","{""posterior_deltoids"":0.2}",true,10,35,false,"[""dumbbell""]",push,controlled,,,false
,Elliptical,Use elliptical with smooth leg drive and optional handle push-pull rhythm.,6,"[""quads""]","[""glutes"",""hamstrings"",""calves"",""chest"",""upper_back""]","{""glutes"":0.4,""hamstrings"":0.3,""calves"":0.3,""chest"":0.2,""upper_back"":0.2}",false,15,300,true,"[""elliptical""]",cardio,controlled,,,false
,EZ-Bar Curl,"Hold EZ-bar with underhand grip. Curl toward shoulders, then lower under control.",5,"[""biceps""]","[""forearms""]","{""forearms"":0.4}",false,10,40,false,"[""ez_bar""]",pull,controlled,,,false
,Face Pull,"Stand facing cable machine at face height. Pull rope to face level, external rotate shoulders. Targets rear delts and rotator cuff.",7,"[""posterior_deltoids""]","[""rotator_cuff"",""traps"",""upper_back""]","{""traps"":0.7,""upper_back"":0.5,""rotator_cuff"":0.9}",false,15,40,false,"[""cable_machine""]",pull,controlled,,,false
,Farmer's Walk,"Carry heavy weights at sides, walk forward maintaining upright posture. Targets grip, core, and traps.",8,"[""forearms""]","[""traps"",""core"",""glutes""]","{""abs"":0.8,""traps"":0.9,""glutes"":0.4}",false,15,30,true,"[""dumbbells"",""kettlebells""]",carry,controlled,,,false
,Figure Four Stretch,"Lie on back, cross one ankle over opposite knee, and pull legs toward chest.",2,"[""glutes""]","[""piriformis"",""hamstrings""]","{""piriformis"":0.7,""hamstrings"":0.2}",true,5,45,true,[],stretch,isometric,,,true
,Fire Hydrant,"Start on all fours. Lift bent knee out to side, pause, then lower while keeping hips stable.",3,"[""glute_medius""]","[""glutes"",""abs""]","{""glutes"":0.4,""abs"":0.2}",true,5,35,false,[],hinge,controlled,,,false
,Floor Press (Barbell),"Lie on floor under a barbell. Lower until upper arms touch the floor, then press up.",7,"[""chest""]","[""triceps"",""anterior_deltoids""]","{""triceps"":0.7,""anterior_deltoids"":0.5}",false,30,60,false,"[""barbell""]",push,controlled,,,false
,Floor Press (Dumbbell),"Lie on floor with dumbbells. Lower elbows until upper arms touch floor, then press up.",7,"[""chest""]","[""triceps"",""anterior_deltoids""]","{""triceps"":0.6,""anterior_deltoids"":0.5}",false,15,50,false,"[""dumbbells""]",push,controlled,,,false
,Flutter Kicks,Lie on back with legs straight. Alternate small up-and-down kicks while keeping lower back down.,5,"[""abs""]","[""hip_flexors"",""quads""]","{""hip_flexors"":0.6,""quads"":0.3}",false,5,35,false,[],anti-rotation,controlled,,,false
,Foam Roller Calf Mobilization,Sit with foam roller under calf and roll slowly from ankle toward knee.,3,"[""calves""]","[""soleus""]","{""soleus"":0.4}",true,5,60,true,"[""foam_roller""]",stretch,controlled,,,true
